iter	Passed	Remaining
416	2899	4053
417	2905	4045
418	2910	4036
419	2917	4029
420	2923	4020
421	2928	4010
422	2935	4003
423	2940	3995
424	2947	3987
425	2952	3978
426	2958	3970
427	2966	3964
428	2972	3956
429	2982	3952
430	2988	3944
431	2994	3936
432	3002	3931
433	3008	3923
434	3014	3915
435	3022	3909
436	3028	3901
437	3035	3895
438	3042	3888
439	3049	3881
440	3055	3873
441	3063	3867
442	3070	3860
443	3077	3853
444	3084	3847
445	3090	3839
446	3098	3833
447	3105	3826
448	3112	3819
449	3119	3813
450	3125	3805
451	3133	3798
452	3139	3790
453	3146	3784
454	3152	3775
455	3158	3768
456	3165	3761
457	3172	3753
458	3178	3746
459	3185	3739
460	3191	3731
461	3197	3723
462	3203	3715
463	3209	3707
464	3216	3700
465	3225	3696
466	3234	3691
467	3240	3683
468	3247	3677
469	3254	3669
470	3259	3661
471	3266	3654
472	3274	3648
473	3282	3642
474	3290	3636
475	3297	3629
476	3303	3621
477	3308	3613
478	3317	3608
479	3323	3600
480	3330	3594
481	3337	3586
482	3343	3579
483	3350	3571
484	3356	3563
485	3362	3556
486	3368	3548
487	3375	3541
488	3381	3533
489	3387	3525
490	3392	3517
491	3399	3509
492	3404	3501
493	3411	3494
494	3419	3488
495	3429	3484
496	3436	3478
497	3442	3470
498	3449	3462
499	3454	3454
500	3460	3446
501	3466	3438
502	3472	3430
503	3480	3425
504	3488	3419
505	3495	3412
506	3501	3404
507	3506	3396
508	3513	3389
509	3518	3380
510	3524	3373
511	3532	3366
512	3538	3358
513	3545	3352
514	3551	3344
515	3557	3337
516	3564	3329
517	3570	3322
518	3577	3316
519	3584	3308
520	3589	3300
521	3597	3294
522	3603	3286
523	3609	3278
524	3614	3270
525	3620	3262
526	3626	3254
527	3631	3246
528	3637	3238
529	3644	3231
530	3649	3223
531	3655	3216
532	3662	3208
533	3668	3200
534	3674	3193
535	3680	3186
536	3686	3178
537	3692	3170
538	3698	3163
539	3704	3155
540	3710	3148
541	3717	3141
542	3725	3135
543	3732	3128
544	3738	3121
545	3746	3114
546	3752	3107
547	3759	3101
548	3770	3097
549	3780	3092
550	3793	3091
551	3809	3091
552	3818	3086
553	3829	3082
554	3838	3077
555	3845	3070
556	3851	3063
557	3858	3056
558	3865	3049
559	3871	3041
560	3878	3035
561	3885	3028
562	3894	3023
563	3917	3028
564	3927	3023
565	3934	3016
566	3941	3010
567	3947	3002
568	3954	2995
569	3961	2988
570	3967	2980
571	3973	2973
572	3980	2966
573	3986	2958
574	3994	2952
575	3999	2944
576	4006	2937
577	4011	2929
578	4017	2921
579	4023	2913
580	4029	2906
581	4035	2898
582	4042	2891
583	4049	2884
584	4056	2877
585	4062	2870
586	4068	2862
587	4075	2855
588	4081	2848
589	4087	2840
590	4093	2833
591	4099	2825
592	4105	2818
593	4112	2810
594	4117	2802
595	4125	2796
596	4131	2788
597	4137	2781
598	4144	2774
599	4149	2766
600	4156	2759
601	4162	2751
602	4168	2744
603	4174	2736
604	4180	2729
605	4186	2721
606	4192	2714
607	4197	2706
608	4203	2698
609	4209	2691
610	4215	2683
611	4222	2676
612	4228	2669
613	4234	2661
614	4241	2655
615	4247	2647
616	4255	2641
617	4261	2634
618	4268	2627
619	4275	2620
620	4281	2612
621	4289	2606
622	4298	2600
623	4309	2596
624	4319	2591
625	4328	2586
626	4339	2581
627	4345	2573
628	4352	2566
629	4358	2559
630	4363	2551
631	4371	2545
632	4377	2538
633	4384	2531
634	4391	2524
635	4397	2517
636	4405	2510
637	4411	2503
638	4418	2496
639	4424	2488
640	4430	2481
641	4438	2475
642	4444	2467
643	4451	2460
644	4456	2453
645	4462	2445
646	4468	2438
647	4474	2430
648	4480	2423
649	4487	2416
650	4493	2409
651	4499	2401
652	4505	2394
653	4512	2387
654	4519	2380
655	4525	2372
656	4530	2365
657	4537	2358
658	4543	2350
659	4550	2344
660	4556	2337
661	4562	2329
662	4570	2323
663	4576	2315
664	4581	2308
665	4592	2302
666	4598	2295
667	4604	2288
668	4610	2281
669	4617	2274
670	4624	2267
671	4630	2260
672	4638	2253
673	4644	2246
674	4650	2239
675	4657	2232
676	4663	2224
677	4670	2218
678	4677	2211
679	4687	2205
680	4693	2198
681	4699	2191
682	4705	2183
683	4711	2176
684	4718	2169
685	4724	2162
686	4729	2154
687	4736	2148
688	4742	2140
689	4748	2133
690	4754	2125
691	4759	2118
692	4767	2111
693	4773	2104
694	4779	2097
695	4786	2090
696	4792	2083
697	4799	2076
698	4804	2069
