iter	Logloss
0	0.6022786821
1	0.5297600762
2	0.4502333995
3	0.409690211
4	0.3787377827
5	0.3483779168
6	0.31806236
7	0.2996141983
8	0.2832608102
9	0.2667748725
10	0.2551033044
11	0.2429963472
12	0.2329741527
13	0.2252973685
14	0.2128778303
15	0.2047013972
16	0.1990449097
17	0.1939444141
18	0.1890581272
19	0.1822603176
20	0.177309737
21	0.1747068683
22	0.1721058665
23	0.1687273993
24	0.1659795652
25	0.1612218616
26	0.1591216749
27	0.1572336741
28	0.1556654176
29	0.1538229857
30	0.1505304243
31	0.1480347503
32	0.1463456305
33	0.1452568509
34	0.143755848
35	0.1423983168
36	0.1413759613
37	0.1401814474
38	0.139234741
39	0.138288199
40	0.1373315593
41	0.1363183303
42	0.1353192005
43	0.1346960924
44	0.1338401543
45	0.1333162148
46	0.1325513483
47	0.1307168326
48	0.1298464926
49	0.129352996
50	0.1289563261
51	0.1282845178
52	0.1277862979
53	0.1272904795
54	0.1253370591
55	0.1247041799
56	0.124228916
57	0.1234986684
58	0.1220850564
59	0.1216316267
60	0.1212466024
61	0.120604532
62	0.1198424077
63	0.119490752
64	0.1186292436
65	0.1182420976
66	0.1178990961
67	0.1177387712
68	0.1162967863
69	0.1159713644
70	0.1152942376
71	0.1149310989
72	0.1143070053
73	0.1139253823
74	0.1133197406
75	0.1128527665
76	0.1123326165
77	0.1120608653
78	0.1117943103
79	0.1115704662
80	0.1112251953
81	0.1109861179
82	0.1106950446
83	0.1101789833
84	0.109912495
85	0.1097868641
86	0.1092000989
87	0.108756929
88	0.1086202901
89	0.108294865
90	0.1081123677
91	0.1078218862
92	0.1076352909
93	0.1071937993
94	0.1069976274
95	0.1068228554
96	0.106648796
97	0.1060318873
98	0.1057071188
99	0.1051913044
100	0.1048678046
101	0.1047851774
102	0.1044961518
103	0.1042870966
104	0.1040774943
105	0.1038458247
106	0.1035079601
107	0.1033097222
108	0.1027677274
109	0.1026959944
110	0.1024935071
111	0.1022700243
112	0.1018154696
113	0.1016700491
114	0.1013030601
115	0.1010757625
116	0.10085091
117	0.1005670251
118	0.1002425464
119	0.1001276167
120	0.09987415788
121	0.09943994134
122	0.09927446864
123	0.09917095996
124	0.09901631186
125	0.09895180336
126	0.0988036004
127	0.09868526281
128	0.09857411416
129	0.09835605194
130	0.09822491818
131	0.09815769281
132	0.0980220293
133	0.09717238364
134	0.09707014519
135	0.09687274272
136	0.09679953137
137	0.09659991806
138	0.09648886072
139	0.09624336604
140	0.09601979798
141	0.09572552769
142	0.09542175807
143	0.09525012637
144	0.09513391162
145	0.09498765406
146	0.0948579833
147	0.09473379137
148	0.09457336296
149	0.0944773962
150	0.09435544002
151	0.09422531311
152	0.09411161238
153	0.09401510263
154	0.09386261886
155	0.09371140815
156	0.09357793096
157	0.09341726218
158	0.0933117329
159	0.09313336154
160	0.09307324677
161	0.09278226826
162	0.09269836922
163	0.09251057755
164	0.09234700006
165	0.09226670266
166	0.09219163723
167	0.09212766273
168	0.09196154873
169	0.09192022925
170	0.09181612709
171	0.09175716742
172	0.0916460477
173	0.09149746763
174	0.09145693967
175	0.09136370781
176	0.09120065801
177	0.09104760446
178	0.09089791114
179	0.09084741823
180	0.09072581446
181	0.09050942757
182	0.09028601254
183	0.09019207382
184	0.08992350429
185	0.08985789243
186	0.08978458102
187	0.08960455897
188	0.08956547657
189	0.08951735303
190	0.08945281088
191	0.08937943602
192	0.08933075668
193	0.08923654463
194	0.08905526274
195	0.08898532409
196	0.08884819066
197	0.08881927174
198	0.08876970012
199	0.08864103123
200	0.08853075554
201	0.08847401942
202	0.08843005362
203	0.08824011112
204	0.08801893048
205	0.08796924629
206	0.08791470662
207	0.08779552856
208	0.08775556684
209	0.08764744882
210	0.08745730818
211	0.0873026764
212	0.08719766153
213	0.08712790788
214	0.08700153688
215	0.0868441185
216	0.08675958527
217	0.08670316213
218	0.08653771027
219	0.08643156671
